,Team,FullTeam,City,Coordinates
0,76ers,Philadelphia 76ers,Philadelphia,"(39.952584, -75.165222)"
1,Bucks,Milwaukee Bucks,Milwaukee,"(43.038902, -87.906474)"
2,Bulls,Chicago Bulls,Chicago,"(41.878114, -87.629798)"
3,Cavaliers,Cleveland Cavaliers,Cleveland,"(41.499320, -81.694361)"
4,Celtics,Boston Celtics,Boston,"(42.360082, -71.05888)"
5,Clippers,Los Angeles Clippers,Los Angeles,"(34.052234, -118.243685)"
6,Grizzlies,Memphis Grizzlies,Memphis,"(35.149534, -90.04898)"
7,Hawks,Atlanta Hawks,Atlanta,"(33.748995, -84.387982)"
8,Heat,Miami Heat,Miami,"(25.761680, -80.19179)"
9,Hornets,Charlotte Hornets,Charlotte,"(35.227087, -80.843127)"
10,Jazz,Utah Jazz,Salt Lake City,"(40.760779, -111.891047)"
11,Kings,Sacramento Kings,Sacramento,"(38.581572, -121.4944)"
12,Knicks,New York Knicks,New York,"(40.712775, -74.005973)"
13,Lakers,Los Angeles Lakers,Los Angeles,"(34.052234, -118.243685)"
14,Magic,Orlando Magic,Orlando,"(28.538335, -81.379236)"
15,Mavericks,Dallas Mavericks,Dallas,"(32.776664, -96.796988)"
16,Nets,Brooklyn Nets,Brooklyn,"(40.678178, -73.944158)"
17,Nuggets,Denver Nuggets,Denver,"(39.739236, -104.990251)"
18,Pacers,Indiana Pacers,Indianapolis,"(39.768403, -86.158068)"
19,Pelicans,New Orleans Pelicans,New Orleans,"(29.951066, -90.071532)"
20,Pistons,Detroit Pistons,Detroit,"(42.331427, -83.045754)"
21,Raptors,Toronto Raptors,Toronto,"(43.653226, -79.383184)"
22,Rockets,Houston Rockets,Houston,"(29.760427, -95.369803)"
23,Spurs,San Antonio Spurs,San Antonio,"(29.424122, -98.493628)"
24,Suns,Phoenix Suns,Phoenix,"(33.448377, -112.074037)"
25,Thunder,Oklahoma City Thunder,Oklahoma City,"(35.467560, -97.516428)"
26,Timberwolves,Minnesota Timberwolves,Minnesota,"(46.729553, -94.6859)"
27,Trail Blazers,Portland Trail Blazers,Portland,"(45.523062, -122.676482)"
28,Warriors,Golden State Warriors,Oakland,"(37.804364, -122.271114)"
29,Wizards,Washington Wizards,Washington DC,"(38.907192, -77.036871)"
