,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
76ers,40,41.0,27.0,41.0,35.0,34.0,19.0,18.0,10.0,28.0,52.0
Bucks,26,34.0,46.0,35.0,31.0,38.0,15.0,41.0,33.0,42.0,44.0
Bulls,33,41.0,41.0,62.0,50.0,45.0,48.0,50.0,42.0,41.0,27.0
Cavaliers,45,66.0,61.0,19.0,21.0,24.0,33.0,53.0,57.0,51.0,50.0
Celtics,66,62.0,50.0,56.0,39.0,41.0,25.0,40.0,48.0,53.0,55.0
Clippers,23,19.0,29.0,32.0,40.0,56.0,57.0,56.0,53.0,51.0,42.0
Grizzlies,22,24.0,40.0,46.0,41.0,56.0,50.0,55.0,42.0,43.0,22.0
Hawks,37,47.0,53.0,44.0,40.0,44.0,38.0,60.0,48.0,43.0,24.0
Heat,15,43.0,47.0,58.0,46.0,66.0,54.0,37.0,48.0,41.0,44.0
Hornets,32,35.0,44.0,34.0,7.0,21.0,43.0,33.0,48.0,36.0,36.0
Jazz,54,48.0,53.0,39.0,36.0,43.0,25.0,38.0,40.0,51.0,48.0
Kings,38,17.0,25.0,24.0,22.0,28.0,28.0,29.0,33.0,32.0,27.0
Knicks,23,32.0,29.0,42.0,36.0,54.0,37.0,17.0,32.0,31.0,29.0
Lakers,57,65.0,57.0,57.0,41.0,45.0,27.0,21.0,17.0,26.0,35.0
Magic,52,59.0,59.0,52.0,37.0,20.0,23.0,25.0,35.0,29.0,25.0
Mavericks,51,50.0,55.0,57.0,36.0,41.0,49.0,50.0,42.0,33.0,24.0
Nets,34,34.0,12.0,24.0,22.0,49.0,44.0,38.0,21.0,20.0,28.0
Nuggets,50,54.0,53.0,50.0,38.0,57.0,36.0,30.0,33.0,40.0,46.0
Pacers,36,36.0,32.0,37.0,42.0,49.0,56.0,38.0,45.0,42.0,48.0
Pelicans,56,49.0,37.0,46.0,21.0,27.0,34.0,45.0,30.0,34.0,48.0
Pistons,59,39.0,27.0,30.0,25.0,29.0,29.0,32.0,44.0,37.0,39.0
Raptors,41,33.0,40.0,22.0,23.0,34.0,48.0,49.0,56.0,51.0,59.0
Rockets,55,53.0,42.0,43.0,34.0,45.0,54.0,56.0,41.0,55.0,65.0
Spurs,56,54.0,50.0,61.0,50.0,58.0,62.0,55.0,67.0,61.0,47.0
Suns,55,46.0,54.0,40.0,33.0,25.0,48.0,39.0,23.0,24.0,21.0
Thunder,20,23.0,50.0,55.0,47.0,60.0,59.0,45.0,55.0,47.0,48.0
Timberwolves,22,24.0,15.0,17.0,26.0,31.0,40.0,16.0,29.0,31.0,47.0
Trail Blazers,41,54.0,50.0,48.0,28.0,33.0,54.0,51.0,44.0,41.0,49.0
Warriors,48,29.0,26.0,36.0,23.0,47.0,51.0,67.0,73.0,67.0,58.0
Wizards,43,19.0,26.0,23.0,20.0,29.0,44.0,46.0,41.0,49.0,43.0
