,return,correct,predictions,home,away,seed,depth,weights,gamma,subsample,colsample
0,-308.59999999999974,506,1107,509,598,0,10,2,0,0.25,0.25
1,180.60000000000008,522,1119,559,560,0,20,2,0,0.25,0.25
2,-224.99999999999994,539,1125,576,549,0,30,2,0,0.25,0.25
3,-224.99999999999994,539,1125,576,549,0,40,2,0,0.25,0.25
4,-224.99999999999994,539,1125,576,549,0,50,2,0,0.25,0.25
5,-176.6999999999999,511,1102,530,572,0,10,4,0,0.25,0.25
6,-169.89999999999998,487,1099,521,578,0,20,4,0,0.25,0.25
7,-169.89999999999998,487,1099,521,578,0,30,4,0,0.25,0.25
8,-169.89999999999998,487,1099,521,578,0,40,4,0,0.25,0.25
9,-169.89999999999998,487,1099,521,578,0,50,4,0,0.25,0.25
10,-10.800000000000423,511,1113,514,599,0,10,6,0,0.25,0.25
11,-589.4999999999998,484,1095,556,539,0,20,6,0,0.25,0.25
12,-589.4999999999998,484,1095,556,539,0,30,6,0,0.25,0.25
13,-589.4999999999998,484,1095,556,539,0,40,6,0,0.25,0.25
14,-589.4999999999998,484,1095,556,539,0,50,6,0,0.25,0.25
15,-17.89999999999978,512,1131,535,596,0,10,2,1,0.25,0.25
16,-364.0999999999996,506,1122,570,552,0,20,2,1,0.25,0.25
17,-559.1999999999999,493,1131,532,599,0,30,2,1,0.25,0.25
18,-559.1999999999999,493,1131,532,599,0,40,2,1,0.25,0.25
19,-559.1999999999999,493,1131,532,599,0,50,2,1,0.25,0.25
20,-180.7000000000001,471,1094,495,599,0,10,4,1,0.25,0.25
21,-30.20000000000008,520,1122,581,541,0,20,4,1,0.25,0.25
22,-571.0999999999995,511,1119,568,551,0,30,4,1,0.25,0.25
23,-571.0999999999995,511,1119,568,551,0,40,4,1,0.25,0.25
24,-571.0999999999995,511,1119,568,551,0,50,4,1,0.25,0.25
25,-102.00000000000013,485,1100,475,625,0,10,6,1,0.25,0.25
26,-113.80000000000025,505,1111,515,596,0,20,6,1,0.25,0.25
27,-113.80000000000025,505,1111,515,596,0,30,6,1,0.25,0.25
28,-113.80000000000025,505,1111,515,596,0,40,6,1,0.25,0.25
29,-113.80000000000025,505,1111,515,596,0,50,6,1,0.25,0.25
30,-307.5000000000005,505,1124,569,555,0,10,2,2,0.25,0.25
31,169.19999999999965,521,1124,544,580,0,20,2,2,0.25,0.25
32,-610.9,485,1118,541,577,0,30,2,2,0.25,0.25
33,-610.9,485,1118,541,577,0,40,2,2,0.25,0.25
34,-610.9,485,1118,541,577,0,50,2,2,0.25,0.25
35,-481.89999999999947,479,1089,496,593,0,10,4,2,0.25,0.25
36,-331.8999999999995,505,1108,533,575,0,20,4,2,0.25,0.25
37,-194.69999999999985,508,1128,529,599,0,30,4,2,0.25,0.25
38,-194.69999999999985,508,1128,529,599,0,40,4,2,0.25,0.25
39,-194.69999999999985,508,1128,529,599,0,50,4,2,0.25,0.25
40,-272.20000000000005,474,1113,487,626,0,10,6,2,0.25,0.25
41,-192.2,495,1111,496,615,0,20,6,2,0.25,0.25
42,-192.2,495,1111,496,615,0,30,6,2,0.25,0.25
43,-192.2,495,1111,496,615,0,40,6,2,0.25,0.25
44,-192.2,495,1111,496,615,0,50,6,2,0.25,0.25
45,169.79999999999987,517,1106,542,564,0,10,2,3,0.25,0.25
46,-389.4999999999999,495,1110,512,598,0,20,2,3,0.25,0.25
47,-85.69999999999975,511,1105,568,537,0,30,2,3,0.25,0.25
48,-85.69999999999975,511,1105,568,537,0,40,2,3,0.25,0.25
49,-85.69999999999975,511,1105,568,537,0,50,2,3,0.25,0.25
50,-352.4999999999995,481,1110,487,623,0,10,4,3,0.25,0.25
51,-516.8999999999996,490,1114,509,605,0,20,4,3,0.25,0.25
52,-516.8999999999996,490,1114,509,605,0,30,4,3,0.25,0.25
53,-516.8999999999996,490,1114,509,605,0,40,4,3,0.25,0.25
54,-516.8999999999996,490,1114,509,605,0,50,4,3,0.25,0.25
55,249.59999999999985,480,1077,536,541,0,10,6,3,0.25,0.25
56,-369.0999999999999,491,1100,542,558,0,20,6,3,0.25,0.25
57,-369.0999999999999,491,1100,542,558,0,30,6,3,0.25,0.25
58,-369.0999999999999,491,1100,542,558,0,40,6,3,0.25,0.25
59,-369.0999999999999,491,1100,542,558,0,50,6,3,0.25,0.25
60,122.40000000000015,547,1120,531,589,0,10,2,0,0.5,0.25
61,225.00000000000023,534,1108,538,570,0,20,2,0,0.5,0.25
62,-147.09999999999977,522,1104,578,526,0,30,2,0,0.5,0.25
63,-147.09999999999977,522,1104,578,526,0,40,2,0,0.5,0.25
64,-147.09999999999977,522,1104,578,526,0,50,2,0,0.5,0.25
65,-23.60000000000025,518,1092,521,571,0,10,4,0,0.5,0.25
66,-178.29999999999936,522,1121,561,560,0,20,4,0,0.5,0.25
67,116.10000000000016,518,1104,521,583,0,30,4,0,0.5,0.25
68,116.10000000000016,518,1104,521,583,0,40,4,0,0.5,0.25
69,116.10000000000016,518,1104,521,583,0,50,4,0,0.5,0.25
70,64.89999999999971,519,1100,512,588,0,10,6,0,0.5,0.25
71,-61.69999999999986,499,1110,515,595,0,20,6,0,0.5,0.25
72,-171.0000000000002,501,1109,550,559,0,30,6,0,0.5,0.25
73,-171.0000000000002,501,1109,550,559,0,40,6,0,0.5,0.25
74,-171.0000000000002,501,1109,550,559,0,50,6,0,0.5,0.25
75,-47.700000000000145,529,1125,524,601,0,10,2,1,0.5,0.25
76,90.69999999999985,544,1109,553,556,0,20,2,1,0.5,0.25
77,403.29999999999944,537,1102,548,554,0,30,2,1,0.5,0.25
78,324.5999999999997,545,1109,567,542,0,40,2,1,0.5,0.25
79,324.5999999999997,545,1109,567,542,0,50,2,1,0.5,0.25
80,385.6999999999998,523,1121,536,585,0,10,4,1,0.5,0.25
81,112.30000000000035,529,1124,523,601,0,20,4,1,0.5,0.25
82,-24.299999999999784,528,1116,545,571,0,30,4,1,0.5,0.25
83,-24.299999999999784,528,1116,545,571,0,40,4,1,0.5,0.25
84,-24.299999999999784,528,1116,545,571,0,50,4,1,0.5,0.25
85,-420.299999999999,492,1117,492,625,0,10,6,1,0.5,0.25
86,-109.50000000000045,516,1102,537,565,0,20,6,1,0.5,0.25
87,58.700000000000315,525,1115,539,576,0,30,6,1,0.5,0.25
88,58.700000000000315,525,1115,539,576,0,40,6,1,0.5,0.25
89,58.700000000000315,525,1115,539,576,0,50,6,1,0.5,0.25
90,-73.10000000000008,505,1114,522,592,0,10,2,2,0.5,0.25
91,158.19999999999996,523,1112,543,569,0,20,2,2,0.5,0.25
92,-431.2999999999996,523,1131,538,593,0,30,2,2,0.5,0.25
93,-431.2999999999996,523,1131,538,593,0,40,2,2,0.5,0.25
94,-431.2999999999996,523,1131,538,593,0,50,2,2,0.5,0.25
95,231.09999999999994,523,1104,502,602,0,10,4,2,0.5,0.25
96,-506.4999999999993,493,1106,508,598,0,20,4,2,0.5,0.25
97,-145.4999999999994,492,1095,521,574,0,30,4,2,0.5,0.25
98,-304.49999999999955,486,1087,514,573,0,40,4,2,0.5,0.25
99,-304.49999999999955,486,1087,514,573,0,50,4,2,0.5,0.25
100,-382.6999999999999,487,1116,510,606,0,10,6,2,0.5,0.25
101,-193.90000000000038,497,1088,559,529,0,20,6,2,0.5,0.25
102,-251.99999999999966,508,1115,562,553,0,30,6,2,0.5,0.25
103,-251.99999999999966,508,1115,562,553,0,40,6,2,0.5,0.25
104,-251.99999999999966,508,1115,562,553,0,50,6,2,0.5,0.25
105,272.1000000000001,514,1103,490,613,0,10,2,3,0.5,0.25
106,-263.4999999999999,492,1111,478,633,0,20,2,3,0.5,0.25
107,66.90000000000019,506,1126,493,633,0,30,2,3,0.5,0.25
108,421.8000000000001,506,1104,464,640,0,40,2,3,0.5,0.25
109,421.8000000000001,506,1104,464,640,0,50,2,3,0.5,0.25
110,-48.399999999999785,507,1101,491,610,0,10,4,3,0.5,0.25
111,-270.1999999999996,503,1093,525,568,0,20,4,3,0.5,0.25
112,150.09999999999988,507,1107,510,597,0,30,4,3,0.5,0.25
113,150.09999999999988,507,1107,510,597,0,40,4,3,0.5,0.25
114,150.09999999999988,507,1107,510,597,0,50,4,3,0.5,0.25
115,-393.69999999999897,478,1090,475,615,0,10,6,3,0.5,0.25
116,-82.4999999999996,507,1103,534,569,0,20,6,3,0.5,0.25
117,-269.69999999999993,481,1093,504,589,0,30,6,3,0.5,0.25
118,-269.69999999999993,481,1093,504,589,0,40,6,3,0.5,0.25
119,-269.69999999999993,481,1093,504,589,0,50,6,3,0.5,0.25
120,-18.299999999999876,524,1119,519,600,0,10,2,0,0.75,0.25
121,-193.59999999999985,548,1110,583,527,0,20,2,0,0.75,0.25
122,-190.40000000000015,555,1119,601,518,0,30,2,0,0.75,0.25
123,-243.10000000000022,564,1133,633,500,0,40,2,0,0.75,0.25
124,-613.3,541,1130,613,517,0,50,2,0,0.75,0.25
125,-358.3999999999998,503,1101,498,603,0,10,4,0,0.75,0.25
126,-698.9999999999992,485,1110,483,627,0,20,4,0,0.75,0.25
127,-286.6999999999999,532,1121,545,576,0,30,4,0,0.75,0.25
128,-331.4999999999993,522,1104,538,566,0,40,4,0,0.75,0.25
129,-331.4999999999993,522,1104,538,566,0,50,4,0,0.75,0.25
130,-167.1999999999995,501,1107,489,618,0,10,6,0,0.75,0.25
131,-5.699999999999774,535,1114,541,573,0,20,6,0,0.75,0.25
132,-112.19999999999962,515,1115,527,588,0,30,6,0,0.75,0.25
133,-16.29999999999955,521,1117,518,599,0,40,6,0,0.75,0.25
134,-16.29999999999955,521,1117,518,599,0,50,6,0,0.75,0.25
135,-158.79999999999978,522,1111,514,597,0,10,2,1,0.75,0.25
136,-233.39999999999904,530,1116,556,560,0,20,2,1,0.75,0.25
137,-134.29999999999967,546,1097,561,536,0,30,2,1,0.75,0.25
138,-544.1000000000001,539,1122,587,535,0,40,2,1,0.75,0.25
139,-634.3999999999999,530,1119,569,550,0,50,2,1,0.75,0.25
140,-436.3999999999992,514,1126,552,574,0,10,4,1,0.75,0.25
141,-494.29999999999967,508,1103,574,529,0,20,4,1,0.75,0.25
142,-694.7999999999989,500,1113,500,613,0,30,4,1,0.75,0.25
143,-706.899999999999,506,1119,502,617,0,40,4,1,0.75,0.25
144,-706.899999999999,506,1119,502,617,0,50,4,1,0.75,0.25
145,-176.99999999999997,497,1105,496,609,0,10,6,1,0.75,0.25
146,-102.90000000000019,513,1110,523,587,0,20,6,1,0.75,0.25
147,158.6999999999997,522,1102,531,571,0,30,6,1,0.75,0.25
148,-203.29999999999993,499,1091,505,586,0,40,6,1,0.75,0.25
149,-203.29999999999993,499,1091,505,586,0,50,6,1,0.75,0.25
150,-156.49999999999932,508,1112,504,608,0,10,2,2,0.75,0.25
151,-332.8999999999997,517,1122,567,555,0,20,2,2,0.75,0.25
152,-780.5999999999991,508,1126,585,541,0,30,2,2,0.75,0.25
153,-480.3999999999996,510,1108,573,535,0,40,2,2,0.75,0.25
154,-480.3999999999996,510,1108,573,535,0,50,2,2,0.75,0.25
155,-543.0,495,1080,497,583,0,10,4,2,0.75,0.25
156,-548.6999999999992,503,1121,536,585,0,20,4,2,0.75,0.25
157,-282.2999999999996,503,1091,536,555,0,30,4,2,0.75,0.25
158,-558.8999999999985,506,1105,525,580,0,40,4,2,0.75,0.25
159,-558.8999999999985,506,1105,525,580,0,50,4,2,0.75,0.25
160,-87.19999999999953,506,1103,510,593,0,10,6,2,0.75,0.25
161,153.50000000000017,519,1102,510,592,0,20,6,2,0.75,0.25
162,162.59999999999954,527,1112,524,588,0,30,6,2,0.75,0.25
